,Year,Country Name,International Tourism Expenditures (US$),International Tourism Receipts (US$),# of arrivals,GDP (US$),Total Population
52,2016,Czechia,4962000000,7041000000,32519000,196272068576,10566332
486,2018,Czechia,6074000000,8283000000,36268000,249000540729,10629928
269,2017,Czechia,5533000000,7695000000,34701000,218628940951,10594438
487,2018,Denmark,10485000000,9097000000,30801000,356841216410,5793636
270,2017,Denmark,9804000000,8508000000,30736000,332121063806,5764980
53,2016,Denmark,9174000000,7494000000,28692000,313115929314,5728010
55,2016,Dominica,33000000,198000000,356000,576229629,70075
489,2018,Dominica,28000000,111000000,199000,554770370,70823
272,2017,Dominica,28000000,161000000,230000,521551851,70403
273,2017,Dominican Republic,940000000,7184000000,7296000,79998045975,10647244
490,2018,Dominican Republic,1006000000,7561000000,7551000,85555390385,10765531
56,2016,Dominican Republic,882000000,6720000000,6769000,75704647977,10527592
274,2017,Ecuador,1463000000,2018000000,1806000,104295862000,16696944
57,2016,Ecuador,1454000000,1729000000,1569000,99937696000,16439585
491,2018,Ecuador,1523000000,2279000000,2535000,107562008000,17015672
708,2019,Ecuador,1650000000,2288000000,2108000,108108009000,17343740
709,2019,"Egypt, Arab Rep.",3718000000,14256000000,13026000,318678815489,105618671
58,2016,"Egypt, Arab Rep.",4351000000,3306000000,5399000,332441717791,99784030
492,2018,"Egypt, Arab Rep.",2897000000,12704000000,11346000,262588632526,103740765
275,2017,"Egypt, Arab Rep.",2419000000,8636000000,8292000,248362771739,101789386
710,2019,El Salvador,504000000,1664000000,2639000,26881140000,6280217
276,2017,El Salvador,466000000,1227000000,2247000,24979190000,6266654
927,2020,El Salvador,162000000,755000000,707000,24930080000,6292731
493,2018,El Salvador,490000000,1370000000,2536000,26020850000,6276342
59,2016,El Salvador,451000000,1161000000,2052000,24191430000,6250510
62,2016,Estonia,1299000000,1911000000,5942000,24072829276,1315790
713,2019,Estonia,1808000000,2310000000,6103000,31081901909,1326898
496,2018,Estonia,1647000000,2326000000,6033000,30624720196,1321977
930,2020,Estonia,676000000,865000000,1695000,31370395572,1329522
279,2017,Estonia,1395000000,2124000000,6145000,26924385103,1317384
63,2016,Eswatini,33000000,13199999,1279000,3816019222,1142524
714,2019,Eswatini,33000000,14300000,1226000,4466214522,1169613
497,2018,Eswatini,43000000,16399999,1277000,4666598023,1160428
931,2020,Eswatini,36400001,7300000,345299,3982236726,1180655
280,2017,Eswatini,74000000,13199999,1343000,4402969225,1151390
932,2020,Ethiopia,322500000,2282000000,518000,107657734392,117190911
715,2019,Ethiopia,661000000,3529000000,812000,95912607970,114120594
64,2016,Ethiopia,461000000,2138000000,871000,74296745599,105293228
498,2018,Ethiopia,612700012,3548000000,849000,84269196152,111129438
281,2017,Ethiopia,363500000,2505000000,933000,81770886908,108197950
283,2017,Fiji,138000000,1243000000,1027000,5353468387,919019
934,2020,Fiji,77000000,236000000,168000,4477030179,920422
500,2018,Fiji,160000000,1370000000,1058000,5581425890,918996
66,2016,Fiji,119000000,1149000000,963000,4930213787,918371
717,2019,Fiji,174000000,1345000000,969000,5481692621,918465
501,2018,Finland,7223000000,5762000000,3224000,275708001767,5515525
935,2020,Finland,1940000000,1757000000,896000,271886077382,5529543
67,2016,Finland,6199000000,4017000000,2789000,240771351298,5495303
284,2017,Finland,6740000000,5210000000,3180000,255647979916,5508214
718,2019,Finland,6841000000,5944000000,3290000,268514916972,5521606
502,2018,France,59131000000,72518000000,211998000,2790956878746,67158348
68,2016,France,49029000000,63557000000,203042000,2472964344587,66724104
936,2020,France,31193000000,35958000000,117109000,2639008701648,67571107
719,2019,France,59751000000,70776000000,217877000,2728870246705,67388001
285,2017,France,53787000000,67717000000,207274000,2595151045197,66918020
69,2016,French Polynesia,226000000,782000000,241000,5497036486,293541
288,2017,"Gambia, The",8500000,128000000,522000,1504909447,2381182
939,2020,"Gambia, The",5199999,53000000,246000,1812170878,2573995
722,2019,"Gambia, The",10000000,157000000,620000,1813609679,2508883
71,2016,"Gambia, The",7199999,88000000,450000,1484578897,2317206
505,2018,"Gambia, The",10399999,174000000,552000,1670671340,2444916
289,2017,Georgia,853000000,2971000000,6483000,16242647229,3728004
72,2016,Georgia,706000000,2315000000,5393000,15141598622,3727505
940,2020,Georgia,292000000,586000000,1513000,15842922532,3722716
506,2018,Georgia,960000000,3518000000,7203000,17596922469,3726549
723,2019,Georgia,1124000000,3551000000,7726000,17470436258,3720161
290,2017,Germany,97163000000,55750000000,37452000,3690849152517,82657002
507,2018,Germany,103502000000,59446000000,38881000,3974443355019,82905782
724,2019,Germany,101231000000,58372000000,39563000,3888226035921,83092962
73,2016,Germany,87412000000,52234000000,35555000,3469853463945,82348669
727,2019,Greece,4211000000,23003000000,34005000,205257014892,10721582
510,2018,Greece,3910000000,21594000000,33072000,212049447242,10732882
293,2017,Greece,3306000000,19139000000,30161000,199844406013,10754679
944,2020,Greece,1500000000,6193000000,7406000,188925995936,10698599
76,2016,Greece,3412000000,16811000000,28071000,193148146586,10775971
78,2016,Grenada,40000000,437000000,474000,1061640740,119966
512,2018,Grenada,42000000,548000000,529000,1166514814,121838
