,Country Name,Year,GDP per Capita
654,Papua New Guinea,2019,2820
652,Papua New Guinea,2020,2757
598,Paraguay,2017,5679
596,Paraguay,2018,5783
594,Paraguay,2019,5384
592,Paraguay,2020,4968
343,Peru,2017,6711
341,Peru,2018,6958
339,Peru,2019,7023
337,Peru,2020,6117
258,Philippines,2017,3123
256,Philippines,2018,3252
254,Philippines,2019,3485
252,Philippines,2020,3301
178,Poland,2017,13865
176,Poland,2018,15468
174,Poland,2019,15732
172,Poland,2020,15742
269,Portugal,2017,21490
267,Portugal,2018,23563
265,Portugal,2019,23331
263,Portugal,2020,22195
1039,Puerto Rico,2017,31109
1038,Puerto Rico,2018,31605
1037,Puerto Rico,2019,32851
1036,Puerto Rico,2020,31430
94,Qatar,2017,59125
92,Qatar,2018,65908
90,Qatar,2019,62088
88,Qatar,2020,50124
809,Republic Of Congo,2017,2171
808,Republic Of Congo,2018,2607
807,Republic Of Congo,2019,2370
806,Republic Of Congo,2020,1900
323,Romania,2017,10807
321,Romania,2018,12399
319,Romania,2019,12899
317,Romania,2020,12957
103,Russia,2017,10720
101,Russia,2018,11287
99,Russia,2019,11536
97,Russia,2020,10162
829,Rwanda,2017,772
828,Rwanda,2018,784
827,Rwanda,2019,820
826,Rwanda,2020,786
739,Samoa,2017,4259
738,Samoa,2018,4188
737,Samoa,2019,4323
736,Samoa,2020,4068
979,San Marino,2017,45399
978,San Marino,2018,48997
977,San Marino,2019,47727
976,San Marino,2020,45516
814,Sao Tome And Principe,2017,1814
813,Sao Tome And Principe,2018,1954
812,Sao Tome And Principe,2019,1988
811,Sao Tome And Principe,2020,2158
158,Saudi Arabia,2017,20802
156,Saudi Arabia,2018,24229
154,Saudi Arabia,2019,23451
152,Saudi Arabia,2020,20204
643,Senegal,2017,1362
641,Senegal,2018,1458
639,Senegal,2019,1436
637,Senegal,2020,1463
499,Serbia,2017,6293
497,Serbia,2018,7252
495,Serbia,2019,7417
493,Serbia,2020,7731
404,Seychelles,2017,16417
403,Seychelles,2018,16911
402,Seychelles,2019,17252
401,Seychelles,2020,12194
869,Sierra Leone,2017,497
868,Sierra Leone,2018,534
867,Sierra Leone,2019,522
866,Sierra Leone,2020,509
59,Singapore,2017,61151
57,Singapore,2018,66859
55,Singapore,2019,65831
53,Singapore,2020,60729
964,Sint Maarten (Dutch Part),2017,29369
963,Sint Maarten (Dutch Part),2018,28988
962,Sint Maarten (Dutch Part),2019,0
961,Sint Maarten (Dutch Part),2020,0
309,Slovak Republic,2017,17538
307,Slovak Republic,2018,19390
305,Slovak Republic,2019,19304
303,Slovak Republic,2020,19267
239,Slovenia,2017,23514
237,Slovenia,2018,26117
235,Slovenia,2019,25943
233,Slovenia,2020,25490
824,Solomon Islands,2017,2333
822,Solomon Islands,2018,2412
820,Solomon Islands,2019,2344
818,Solomon Islands,2020,2251
854,Somalia,2017,384
853,Somalia,2018,390
852,Somalia,2019,419
851,Somalia,2020,438
223,South Africa,2017,6691
221,South Africa,2018,7005
219,South Africa,2019,6625
217,South Africa,2020,5656
93,South Korea,2017,31617
91,South Korea,2018,33437
89,South Korea,2019,31902
87,South Korea,2020,31598
128,Spain,2017,28170
126,Spain,2018,30365
124,Spain,2019,29554
122,Spain,2020,27056
449,Sri Lanka,2017,4077
448,Sri Lanka,2018,4059
447,Sri Lanka,2019,3848
446,Sri Lanka,2020,3694
334,St. Kitts And Nevis,2017,20383
333,St. Kitts And Nevis,2018,20567
332,St. Kitts And Nevis,2019,22048
331,St. Kitts And Nevis,2020,18441
474,St. Lucia,2017,11035
472,St. Lucia,2018,11354
470,St. Lucia,2019,11591
468,St. Lucia,2020,8805
529,St. Vincent And The Grenadines,2017,7718
528,St. Vincent And The Grenadines,2018,8024
527,St. Vincent And The Grenadines,2019,8230
526,St. Vincent And The Grenadines,2020,7861
609,Sudan,2017,3178
608,Sudan,2018,774
607,Sudan,2019,755
606,Sudan,2020,615
669,Suriname,2017,6296
667,Suriname,2018,6938
665,Suriname,2019,6854
663,Suriname,2020,4917
104,Sweden,2017,53792
102,Sweden,2018,54589
100,Sweden,2019,51939
98,Sweden,2020,52300
39,Switzerland,2017,83352
37,Switzerland,2018,86388
35,Switzerland,2019,85335
33,Switzerland,2020,87100
999,Syrian Arab Republic,2017,956
998,Syrian Arab Republic,2018,1266
997,Syrian Arab Republic,2019,0
996,Syrian Arab Republic,2020,0
834,Tajikistan,2017,849
833,Tajikistan,2018,853
832,Tajikistan,2019,891
831,Tajikistan,2020,853
498,Tanzania,2017,1005
496,Tanzania,2018,1043
494,Tanzania,2019,1086
492,Tanzania,2020,1076
189,Thailand,2017,6594
188,Thailand,2018,7299
187,Thailand,2019,7814
186,Thailand,2020,7159
864,Timor-Leste,2017,1299
863,Timor-Leste,2018,1249
862,Timor-Leste,2019,1584
861,Timor-Leste,2020,1443
